Indicator.datasource,Indicator.area,Indicator.short_name,Indicator.long_name,Indicator_Code,Filter_code
EUROSTAT,Health Stats,Long-term care (health) expenditure ,Long-term care (health) expenditure ,tps00214,
WORLD BANK,Health Stats,OOP expenditure (% health expenditure),Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,
WORLD BANK,Economy / Education,OOP Health care expenditure (>10%) ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,
WORLD BANK,Economy / Education,OOP Health care expenditure (>25%) ,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,
WORLD BANK,Health Stats,OOP per capita (PPP),"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,
WORLD BANK,Health Stats,OOP per capita (USD),Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,
WORLD BANK,Economy / Education,Poverty due to OOP Health Expenditure (further below 60%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,
WORLD BANK,Economy / Education,Poverty due to OOP Health Expenditure (below 60%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,
WORLD BANK,Economy / Education,Poverty under $2.15 due to OOP health expenditure,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,
WORLD BANK,Economy / Education,Poverty under $2.15 due to OOP health expenditure (% Population),Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,
WORLD BANK,Economy / Education,Poverty under $3.65 due to OOP health expenditure,Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,
WORLD BANK,Economy / Education,Poverty under $3.65 due to OOP health expenditure (% Population),Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,
WORLD BANK,Economy / Education,Poverty under 60% median consumption poverty line due to OOP health expenditure (% Population),Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS,
EUROSTAT,Health Stats,Self-reported unmet need for medical examination and care by sex ,Self-reported unmet need for medical examination and care by sex ,sdg_03_60,
EUROSTAT,Health Stats,Total health care expenditure,Total health care expenditure,tps00207,
EUROSTAT,Economy / Education,Unemployment rates of the population aged 25-64 by educational attainment level,Unemployment rates of the population aged 25-64 by educational attainment level,tps00066,
